section,in_resume,title,loc,institution,start,end,description_1,description_2,description_3,description_4,description_5,description_6
by_me_press,FALSE,"[Wildfires are Getting Worse, The New York Times](https://www.nytimes.com/interactive/2016/07/25/us/wildfire-seasons-los-angeles.html)",The New York Times,N/A,2016,2016,GIS analysis and modeling of fire patterns and trends,Data in collaboration with NASA and USGS,NA,,,
by_me_press,FALSE,[Who’s Speaking at the Democratic National Convention?](https://www.nytimes.com/2016/07/26/upshot/democrats-may-not-be-unified-but-their-convention-speakers-are.html),The New York Times,N/A,2016,2016,Data scraped from CSPAN records to figure out who talked and past conventions.,NA,NA,,,
by_me_press,FALSE,[Who’s Speaking at the Republican National Convention?](https://www.nytimes.com/2016/07/19/upshot/whos-not-speaking-how-this-republican-convention-differs.html?smid=pl-share),The New York Times,N/A,2016,2016,Used same data scraping techniques as Who’s Speaking at the Democratic National Convention?,NA,NA,,,
by_me_press,FALSE,"[A Trail of Terror in Nice, Block by Block](https://www.nytimes.com/interactive/2016/07/14/world/europe/trail-of-terror-france.html)",The New York Times,N/A,2016,2016,"Led research effort to put together story of 2016 terrorist attack in Nice, France in less than 12 hours.","Work won Silver medal at Malofiej 2017, and gold at Society of News and Design.",NA,,,
academic_articles,TRUE ,[Application of mathematical models to inform national strategic planning in Nigeria](https://www.youtube.com/watch?v=w0Mo4qE3Pfw),6th Future of Malaria Research Symposium,N/A,2020,2020,Presentation of project performed at the Gerardin Lab ,NA,NA,,,
academic_articles,TRUE ,[Working Paper: Beyond national indicators: Adapting the Demographic and Health Surveys program to better inform subnational malaria intervention policy](https://ifeomaozo.github.io/files/DHS_opinion_piece.pdf),Under peer review with the Malaria Journal ,,2021,2021,"Authored with Ambrose M, Battle K, Bever C, Diallo O, Galatas B, Runge M, Gerardin J",NA,NA,,,
academic_articles,TRUE ,"[Urban-rural determinants of malaria transmission intensity, insecticide
 treated net Access and use in Nigeria](https://www.nico.northwestern.edu/news-events/wednesdays-at-nico/)",Lightning Talk at the Northwestern Institute of Complex Systems ,,2020,2020,"Presentation of ongoing project at the Gerardin Lab with mentee, Chilochibi Chiziba ",NA,NA,,,
academic_articles,TRUE,"[Country-level analysis of the association between maternal obesity with neonatal mortality in Sub-Saharan Africa: A cross- sectional study of 
Demographic and Health Surveys from 34 countries](https://annalsofglobalhealth.org/articles/10.5334/aogh.2510/)",Annals of Global Health,N/A,2019,2019,"Authored with Mamudu HM, Wang L, Wallace R, Quinn M, Liu Y, Doctor HV",NA,NA,,,
academic_articles,TRUE,[Is the positive association of middle income and rich household wealth on adult Sub-Saharan african womens overweight status modified by the level of education attainment? A cross-sectional study of 22 countries](https://bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-020-08956-3),BMC Public Health ,N/A,2020,2020,"Authored with Doctor HV, Quinn M, Mercer LD, Omoike EO, Mamudu HM",NA,NA,,,
academic_articles,TRUE ,"[A qualitative evidence synthesis of contextual factors contributing to female overweight and obesity over the life course in
Sub-Saharan Africa](https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0224612)",PLoS One,N/A,2019,2019,"Authored with Littleton MA, Nwabueze C, Famojuro O, Quinn M, Wallace R, Mamudu HM",NA,NA,,,
academic_articles,TRUE ,[Working Paper: Adult female overweight and obesity prevalence in seven sub-saharan african countries: A baseline sub-national assessment of indicator 14 Of the Global NCD Monitoring Framework](https://www.preprints.org/manuscript/202010.0067/v1),Preprints.org ,,2020,2020,"Authored with Mercer LD, Quinn M, Doctor HV, Mamudu HM",NA,NA,,,
academic_articles,TRUE ,[Methods for understanding childhood trauma: modifying the adverse childhood experiences international questionnaire for cultural competency](https://link.springer.com/article/10.1007/s00038-017-1058-2),International Journal of Public Health ,,2017,2017,"Authored with Quinn M, Caldara G, Collins K, Owens H, Loudermilk E, Stinson JD",,,,,
academic_articles,TRUE ,[Working Paper: Systematic review of the global implementation of adverse childhood experiences surveys](https://ifeomaozo.github.io/files/Systematic%20Review%20of%20ACEs_12-2-2020.pdf),Under review with Child Abuse and Neglect ,,2021,2021,"Authored with Quinn M, Okwori Glory, Steward Steven, Linh Ha",NA ,NA ,,,
academic_articles,FALSE,"[The Influence of the Social and Cultural Environment on Maternal 
Mortality in Nigeria: Evidence from the 2013 Demographic and Health Survey](https://-
doi.org/10.1371/journal.pone.019)",PLoS One,N/A,2017,2017,"Authored with Ariyo O, Doctor HV",NA,NA,,,
academic_articles,FALSE,"[An Association of Health Behaviors with Depression and Metabolic 
Risks: Data from 2007 to 2014 U.S. National Health and Nutrition Examination Survey](https://pubmed.ncbi.nlm.nih.gov/28412644/)",Journal of Affective Disorders ,N/A,2017,2017,"Authored with Liu Y, Yu Y, Hess R, Bie R",NA,NA,,,
academic_articles,FALSE,Declines of Mysis diluviana in the Great Lakes,Journal of Great Lakes Research,N/A,2015,2015,Authored with Peter Euclide and Jason Stockwell.,NA,NA,,,
academic_articles,FALSE,[Continuous Classification using Deep Neural Networks](http://nickstrayer.me/qualifying_exam/),Vanderbilt Biostatistics Qualification Exam,N/A,2017,2017,Review of methods for classifying continuous data streams using neural networks,Successfully met qualifying examination standards,NA,,,
academic_articles,FALSE,[Charge Reductions Associated with Shortening Time to Recovery in Septic Shock](https://www.ncbi.nlm.nih.gov/pubmed/30419234),Chest,N/A,2019,2019,"Authored with Wesley H. Self, MD MPH; Dandan Liu, PhD; Stephan Russ, MD, MPH; Michael J. Ward, MD, PhD, MBA; Nathan I. Shapiro, MD, MPH; Todd W. Rice, MD, MSc; Matthew W. Semler, MD, MSc.",NA,NA,,,
